AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,EXTRANJERO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,SIN REGISTRO,TACNA,TUMBES,UCAYALI
5.0,30.0,11.0,46.0,15.0,26.0,55.0,34.0,2.0,9.0,19.0,41.0,50.0,39.0,12.0,500.0,30.0,0.0,7.0,4.0,39.0,32.0,14.0,0.0,16.0,7.0,7.0
6.0,36.0,12.0,45.0,18.0,21.0,52.0,51.0,1.0,16.0,15.0,31.0,46.0,48.0,14.0,541.0,23.0,3.0,6.0,8.0,30.0,45.0,20.0,0.0,15.0,4.0,7.0
5.0,32.0,15.0,45.0,14.0,31.0,44.0,46.0,0.0,5.0,7.0,42.0,39.0,46.0,17.0,550.0,30.0,3.0,2.0,5.0,33.0,30.0,18.0,1.0,8.0,11.0,10.0
2.0,35.0,9.0,37.0,19.0,20.0,39.0,40.0,1.0,15.0,26.0,39.0,40.0,55.0,12.0,569.0,21.0,5.0,4.0,5.0,53.0,45.0,20.0,0.0,9.0,5.0,8.0
4.0,37.0,9.0,39.0,18.0,19.0,50.0,45.0,2.0,11.0,22.0,41.0,37.0,60.0,12.0,520.0,24.0,5.0,1.0,3.0,33.0,35.0,8.0,0.0,11.0,7.0,4.0
1.0,45.0,17.0,37.0,16.0,20.0,40.0,31.0,1.0,11.0,16.0,37.0,40.0,55.0,14.0,495.0,26.0,3.0,4.0,5.0,49.0,30.0,25.0,0.0,14.0,6.0,10.0
3.0,31.0,14.0,48.0,20.0,26.0,50.0,37.0,0.0,10.0,9.0,44.0,39.0,40.0,16.0,493.0,16.0,3.0,3.0,7.0,40.0,31.0,9.0,1.0,11.0,11.0,11.0
3.0,29.0,10.0,30.0,19.0,26.0,41.0,49.0,0.0,13.0,16.0,24.0,46.0,59.0,10.0,455.0,25.0,4.0,4.0,2.0,34.0,32.0,9.0,1.0,7.0,10.0,9.0
5.0,42.0,13.0,30.0,18.0,24.0,52.0,30.0,3.0,12.0,14.0,30.0,36.0,51.0,16.0,565.0,24.0,4.0,2.0,4.0,47.0,27.0,9.0,2.0,8.0,7.0,6.0
5.0,36.0,3.0,31.0,22.0,26.0,43.0,32.0,0.0,12.0,12.0,46.0,50.0,62.0,9.0,538.0,19.0,2.0,2.0,3.0,41.0,34.0,18.0,1.0,8.0,6.0,11.0
5.0,33.0,9.0,20.0,18.0,22.0,56.0,32.0,1.0,10.0,10.0,32.0,38.0,66.0,10.0,481.0,22.0,7.0,4.0,8.0,42.0,28.0,15.0,1.0,13.0,11.0,5.0
3.0,36.0,17.0,34.0,16.0,30.0,50.0,36.0,5.0,7.0,20.0,35.0,27.0,49.0,7.0,479.0,18.0,2.0,2.0,5.0,51.0,32.0,18.0,1.0,10.0,9.0,15.0
4.0,34.0,10.0,36.0,24.0,24.0,57.0,37.0,4.0,10.0,16.0,37.0,42.0,61.0,16.0,494.0,16.0,4.0,2.0,6.0,44.0,28.0,14.0,1.0,7.0,4.0,13.0
7.0,42.0,7.0,41.0,18.0,20.0,51.0,37.0,6.0,16.0,7.0,40.0,36.0,48.0,16.0,488.0,22.0,3.0,1.0,8.0,48.0,34.0,20.0,1.0,8.0,8.0,14.0
3.0,35.0,7.0,41.0,17.0,20.0,54.0,37.0,2.0,11.0,9.0,31.0,40.0,55.0,12.0,506.0,20.0,6.0,3.0,8.0,46.0,34.0,18.0,0.0,3.0,9.0,11.0
2.0,42.0,11.0,33.0,16.0,25.0,48.0,28.0,1.0,10.0,20.0,32.0,36.0,64.0,13.0,540.0,17.0,5.0,6.0,6.0,54.0,34.0,14.0,0.0,11.0,6.0,14.0
5.0,34.0,13.0,30.0,20.0,23.0,52.0,44.0,0.0,13.0,14.0,41.0,32.0,55.0,13.0,527.0,25.0,2.0,4.0,1.0,37.0,33.0,4.0,1.0,4.0,8.0,8.0
